日付,活動区分,ｱｸﾃｨﾋﾞﾃｨ,タイトル,"記録
リンク",GPSログ,主な訪問地,都道府県,補足,"距離
[km]",獲得標高 [m],"走行・歩行
時間",車種,メーカー,モデル
2017-04-30,🚲,サイクリング,九度山,,https://drive.google.com/file/d/1usLGu45Va1g8zsFbvWPC7outFMSJK2-m/view?usp=drivesdk,真田庵、真田の抜け穴伝説の場所,和歌山,,5,,,シクロ,LOOK,X85
2017-04-30,🚲,サイクリング,護摩壇山,https://yamap.com/activities/37090750,,林道「室川線」、高野龍神スカイライン、護摩壇山[1372m]、スカイタワー、道の駅「龍神」、龍神温泉、あらぎ島,奈良、和歌山,,125,"2,129",08:39,ロード,Cannondale,SYNAPSE Hi-Mod
2017-05-02,🚲,サイクリング,熊野三山,https://yamap.com/activities/39989634,https://drive.google.com/file/d/15AnQllnmOIhTEPQMhSsqkSbvcBGaxSmB/view?usp=drivesdk,熊野古道、那智大滝、林道「田長谷線」、熊野本宮大社、林道「谷口皆瀬川線」、熊野速玉大社,和歌山,,123,"2,251",09:24,ロード,Cannondale,SYNAPSE Hi-Mod
2017-05-03,🚲,サイクリング,北山村から十津川村へ,https://yamap.com/activities/40166960,https://drive.google.com/file/d/1Fz5enL3dlIfPiw7HzIk_zURb2mU0OgjN/view?usp=drivesdk,不動バイパス、酷道425号線、清納の滝、道の駅「十津川郷」、玉置神社、玉置山展望台、萬川トンネル、瀞峡,三重、奈良、和歌山,,90,"2,105",08:26,ロード,Cannondale,SYNAPSE Hi-Mod
2017-05-04,🚲,サイクリング,伊勢志摩,https://connect.garmin.com/app/activity/1716290352,https://drive.google.com/file/d/1V9xLzcsBqL-v5nGMhowo5998gFqao1HR/view?usp=drivesdk,横山展望台、パールロード、的矢湾大橋、海鮮料理の「王将」、伊雜宮、倭姫命の遺跡、佐美長神社、磯部神社,三重,,49,641,3:50,シクロ,LOOK,X85
2017-05-07,🚲,サイクリング,山伏峠,https://connect.garmin.com/app/activity/1718837105,https://drive.google.com/file/d/1u4foFF6gy2OB_njfELDFPUtBvqvUJRot/view?usp=drivesdk,小沢峠[342m]、山伏峠[621m]、正丸峠[640m]、刈場坂峠[818m]、堂平山[876m]、奥武蔵ＧＬ、顔振峠[508m],埼玉、東京,,130,"2,175",7:56,ロード,LOOK,KG585
2017-05-20,🚲,サイクリング,田口峠,https://connect.garmin.com/app/activity/1743309543,https://drive.google.com/file/d/1q7_c6fRvIwPRTKAk7gsgEJlpjY0yh9U2/view?usp=drivesdk,ぶどう峠[1510m]、龍岡城、田口峠[1120m]、塩之沢峠[1060m],群馬、長野,,102,"1,987",7:03,ロード,Cannondale,SYNAPSE Hi-Mod
2017-05-27,🚲,グラベル,精進ヶ滝林道,https://connect.garmin.com/app/activity/1760767534,https://drive.google.com/file/d/14y50CedvTjL_lEIx6vOaJ45O9gdB9epF/view?usp=drivesdk,精進ヶ滝林道、精進ヶ滝遠望台、林道「御座石線」、林道「小武川線」、林道「小字沢線」、甘利山[1742m]、林道「御庵沢小武川線」、山の神、ループ橋,山梨,,74,"1,954",6:27,ロード,Cannondale,SYNAPSE Hi-Mod
2017-05-28,🚲,サイクリング,都内,https://connect.garmin.com/app/activity/1775098082,https://drive.google.com/file/d/1lbc0CNCLJ_fBtiXx2uBZE6HbUx6TIHM3/view?usp=drivesdk,銀座、高輪橋架道橋、品川浦、芝浦運河、レインボーブリッジ、アメ横,東京,,20,108,4:06,小径車,r&m,BD-1
2017-06-04,🚲,サイクリング,八王子,https://connect.garmin.com/app/activity/1776680663,https://drive.google.com/file/d/1JXuXoBZqHlv1oESfDqX3n0RzVtgZtUhv/view?usp=drivesdk,立川、八王子、了法寺、道の駅「八王子滝山」、昭島のアウトドアヴィレッジ,東京,,40,191,2:41,ロード,GIANT,DEFY ADVANCED
2017-06-06,🚲,サイクリング,櫛形山の林道,https://connect.garmin.com/app/activity/1780935462,https://drive.google.com/file/d/1m2oo9-ugBS5mIlCrXMdc3lDhvzXPeZa5/view?usp=drivesdk,林道「甲西線」、林道「丸山線」、林道「池の茶屋線」、北岳展望デッキパノラマ、櫛形山林道、ループ橋,山梨,,60,"1,888",6:02,ロード,Cannondale,SYNAPSE Hi-Mod
2017-06-10,🚲,サイクリング,奥多摩周遊道路,https://connect.garmin.com/app/activity/1787864330,https://drive.google.com/file/d/1KSE5U8MEDj6n72ORJzz7DQEazrlS-YM5/view?usp=drivesdk,都民の森[1000m],東京,奥多摩周遊,43,803,2:08,ロード,LOOK,KG585
2017-06-17,🚲,サイクリング,奥多摩周遊道路,https://connect.garmin.com/app/activity/1801602719,https://drive.google.com/file/d/1xevVZn_wdBG2dPBORgJmb-r7RJJcGo8d/view?usp=drivesdk,都民の森[1000m],東京,奥多摩周遊,44,823,2:09,ロード,LOOK,KG585
2017-06-18,🚲,サイクリング,八王子散策,https://connect.garmin.com/app/activity/1803756113,https://drive.google.com/file/d/13Rw7E_y3o52A1Lp1iL6_W77JvPLYq-r8/view?usp=drivesdk,八王子駅前周辺、煮干しラーメン、道の駅「八王子滝山」、多摩サイ,東京,,47,198,4:52,ロード,GIANT,DEFY ADVANCED
2017-06-24,🚲,サイクリング,柳沢峠、奥多摩周遊道路,https://connect.garmin.com/app/activity/1815223433,https://drive.google.com/file/d/1KuwMmstdwxtN0XRrxxLTr8fzHGkVdg4r/view?usp=drivesdk,柳沢峠[1472m]、道の駅「たばやま」、奥多摩周遊道路、都民の森[1000m],東京、山梨,奥多摩周遊,180,"2,398",9:44,ロード,Cannondale,SYNAPSE Hi-Mod
2017-07-15,🚲,サイクリング,飛騨古川から白川郷へ周回,https://connect.garmin.com/app/activity/1854962017,https://drive.google.com/file/d/1GUXW-ARWLitMEHP2eT6nZMdtPdh4GjpT/view?usp=drivesdk,、小鳥峠[1113m]、御母衣ダムサイトパーク、白川郷、天生峠[1290m],岐阜,,122,"2,286",9:07,ロード,Cannondale,SYNAPSE Hi-Mod
2017-07-16,🚲,サイクリング,乗鞍,https://connect.garmin.com/app/activity/1856736323,https://drive.google.com/file/d/17QuySYk52lyhJ-KzFf4dtVTzNnN-EdAE/view?usp=drivesdk,乗鞍エコーライン、畳平[2702m],長野,乗鞍,40,"1,204",3:14,ロード,Cannondale,SYNAPSE Hi-Mod
2017-07-17,🚲,サイクリング,小平周辺,https://connect.garmin.com/app/activity/1859140793,https://drive.google.com/file/d/1bxAofw9ovEOsj7sMkklBV8FUbvbRn_Ji/view?usp=drivesdk,小金井のプーさん、吉祥寺のはらドーナツ、多摩湖自転車道,東京,,26,46,2:35,ロード,GIANT,DEFY ADVANCED
2017-07-23,🚲,サイクリング,大弛峠,https://connect.garmin.com/app/activity/1870463813,https://drive.google.com/file/d/1GBfCScozFA6F_MkvaGyZQ8DRywuMbLZ4/view?usp=drivesdk,道の駅「道の駅 花かげの郷 まきおか」、大弛峠[2360m]、夢の庭園,山梨,大弛峠,58,"1,848",5:07,シクロ,LOOK,X85
2017-07-29,🚲,サイクリング,大弛峠,https://connect.garmin.com/app/activity/1896010460,https://drive.google.com/file/d/1p7p8cY5jug29432Vpbn84yP5UcME5myq/view?usp=drivesdk,大弛峠[2360m],山梨,大弛峠,20,757,3:07,ロード,Cannondale,SYNAPSE Hi-Mod
2017-08-06,🚲,サイクリング,名栗湖,https://connect.garmin.com/app/activity/1898498213,https://drive.google.com/file/d/1_3I36ZW5Gxzcsh5zywoiDV9KzBtTeXkz/view?usp=drivesdk,名栗湖,埼玉、東京,,98,969,6:11,シクロ,LOOK,X85
2017-09-03,🚲,サイクリング,鎌倉,https://connect.garmin.com/app/activity/1955102582,https://drive.google.com/file/d/1F3HoOOV_l6ccZBIh071YlPMZ4RjCPl34/view?usp=drivesdk,鎌倉,神奈川,,22,147,1:59,ロード,GIANT,DEFY ADVANCED
2017-09-10,🚲,グラベル,栗原川林道,https://yamap.com/activities/40014108,https://drive.google.com/file/d/1juwhLemOs63I2MDXmwbLuYmUWbQtCpc0/view?usp=drivesdk,栗原川林道,群馬,,77,"1,643",07:19,シクロ,LOOK,X85
2017-09-24,🚲,サイクリング,乗鞍周回,https://yamap.com/activities/39991889,https://drive.google.com/file/d/1uHMYRCr16bG4juhhB6qxa-4VAaFk1JBq/view?usp=drivesdk,野麦峠[1672m]、乗鞍スーパー林道、乗鞍高原、乗鞍エコーライン、乗鞍スカイライン、美女街道,長野、岐阜,乗鞍越え,149,"3,379",10:39,ロード,Cannondale,SYNAPSE Hi-Mod
2017-10-01,🚲,サイクリング,草津白根山,https://connect.garmin.com/app/activity/2063378615,https://drive.google.com/file/d/1jZM8ga6UOTyCDO16LpWSsw3jxfapzhH1/view?usp=drivesdk,草津白根山[2171m],群馬,,10,,,ロード,Cannondale,SYNAPSE Hi-Mod
2017-10-08,🚲,サイクリング,奥只見湖,https://yamap.com/activities/40015912,https://drive.google.com/file/d/109Ug7Kr049IuOEwFYPzRk9ApAl4JnMPH/view?usp=drivesdk,枝折峠[1065m]、奥只見湖、尾瀬御池駐車場、桧枝岐村,新潟、福島,,152,"2,703",10:03,ロード,Cannondale,SYNAPSE Hi-Mod
2017-10-09,🚲,サイクリング,川俣湖と瀬戸合峡,https://connect.garmin.com/app/activity/2071423485,https://drive.google.com/file/d/18Azlvp9ngNvYgIiqaD-Tk1d73Sw2_Pjw/view?usp=drivesdk,川俣湖、瀬戸合峡,栃木,🍁,70,788,4:37,ロード,Cannondale,SYNAPSE Hi-Mod
2017-10-25,🚲,サイクリング,中禅寺湖を散策,,,半月山展望台、小田代ヶ原、中禅寺湖千手ヶ浜、日光二荒山神社中宮祠,栃木,🍁,,,,ロード,Cannondale,SYNAPSE Hi-Mod
2017-10-28,🚲,サイクリング,猊鼻渓,https://connect.garmin.com/app/activity/2212978499,https://drive.google.com/file/d/1SM4rM8JNYiBWhcTC2KW3VpkSND8QiJVk/view?usp=drivesdk,猊鼻渓、厳美峡,岩手,🍁,14,225,00:52,小径車,r&m,BD-1
2017-10-28,🚲,サイクリング,平泉,https://connect.garmin.com/app/activity/2214806080,https://drive.google.com/file/d/17XmwWjyjRZikqRgQ8wxLumr2Z7TyZk1c/view?usp=drivesdk,毛越寺、中尊寺、達谷窟毘沙門堂、,岩手,🍁,26,275,4:53,小径車,r&m,BD-1
2017-11-03,🚲,サイクリング,河口湖の紅葉,https://connect.garmin.com/app/activity/2272369607,https://drive.google.com/file/d/13KOLbE2N2v6xaMpf1ODRBin29QwaRgyH/view?usp=drivesdk,河口湖、もみじ回廊、もみじトンネル,山梨,🍁,15,79,1:45,シクロ,LOOK,X85
2017-11-03,🚲,サイクリング,紅葉台の紅葉,https://connect.garmin.com/app/activity/2272572554,https://drive.google.com/file/d/1gae3xpJsHhxo0P41amuuWgzZGZYOrvcd/view?usp=drivesdk,紅葉台,山梨,🍁,5,179,0:32,シクロ,LOOK,X85
2017-11-05,🚲,サイクリング,茨城の花貫渓谷,https://connect.garmin.com/app/activity/2290428645,https://drive.google.com/file/d/1GD6eTnpHsXdB7_9WKW_9H672fyNHBJVt/view?usp=drivesdk,花貫渓谷,茨城,🍁,24,345,3:14,小径車,r&m,BD-1
2017-11-12,🚲,サイクリング,二十曲峠,https://connect.garmin.com/app/activity/2327232602,https://drive.google.com/file/d/1-nG9cEdLy_1jyMqrIBsVla8zSA4DhlB4/view?usp=drivesdk,林道「細野鹿留線」、林道「鹿留線」、二十曲峠[1150m],山梨,,39,677,3:58,ロード,Cannondale,SYNAPSE Hi-Mod
2017-11-19,🚲,サイクリング,青梅ポタリング,https://connect.garmin.com/app/activity/2339116130,https://drive.google.com/file/d/1EoIoLSGD1BiRam3IoFnGEHlWckS-YeF4/view?usp=drivesdk,日向和田臨川庭園、釜の淵公園、阿蘇神社、羽村取水堰,東京,,59,281,5:39,ロード,GIANT,DEFY ADVANCED
2017-11-22,🚲,サイクリング,小平近郊の紅葉巡り,https://connect.garmin.com/app/activity/2344334828,https://drive.google.com/file/d/1hrB13jhv2NS2VRFvjYnLhkhDJ872kOuI/view?usp=drivesdk,武蔵野公園、野川,東京,🍁,20,80,1:25,ロード,GIANT,DEFY ADVANCED
2017-11-23,🚲,サイクリング,府中から多摩湖の紅葉,https://connect.garmin.com/app/activity/2347785140,https://drive.google.com/file/d/1aMA9_RWbuCCrvh8VnVeBQ6qNDd13m082/view?usp=drivesdk,府中の森公園、武蔵野公園、多摩湖、西武園イルミージュ,東京,🍁,21,92,2:17,ロード,GIANT,DEFY ADVANCED
2017-11-25,🚲,サイクリング,都内,https://connect.garmin.com/app/activity/2348971248,https://drive.google.com/file/d/1qin8KQv7r9UCKPGDPAHJ1efztOHb0LOk/view?usp=drivesdk,神宮外苑のいちょう並木、国会議事堂前の銀杏、日比谷公園、すみだ北斎博物館、アメ横,東京,🍁,23,82,4:31,小径車,r&m,BD-1
2017-12-02,🚲,サイクリング,千葉県・松戸市の紅葉,https://connect.garmin.com/app/activity/2360619014,https://drive.google.com/file/d/18vaswxDdBBOaUcJmqSl_7WXuEKbuv-Tp/view?usp=drivesdk,本土寺、東漸寺、水元公園、柴又,千葉,🍁,29,156,5:07,小径車,r&m,BD-1
2017-12-08,🚲,サイクリング,都内,,,新宿、吉祥寺,東京,,60,,,ロード,GIANT,DEFY ADVANCED
2017-12-10,🚲,グラベル,狭山湖,https://connect.garmin.com/app/activity/2373207848,https://drive.google.com/file/d/1tRXaRE8QRBIOlvMXTV3s8RIApxWsLeGr/view?usp=drivesdk,多摩湖、狭山湖,埼玉、東京,,40,364,3:29,MTB,GIANT,XTC ADVANCED 3
2017-12-17,🚲,グラベル,房総の林道サイクリング,https://connect.garmin.com/app/activity/2383345688,https://drive.google.com/file/d/1k75qOYCoDtLFJAyMPh9ILW0h1lT26szo/view?usp=drivesdk,水仙ロード、大山千枚田、林道「山中線」、林道「保打田見線」、灯篭坂大師、林道「金谷元谷線」,千葉,,60,"1,363",6:35,シクロ,LOOK,X85
2017-12-24,🚲,サイクリング,横浜散策,https://connect.garmin.com/app/activity/2393781159,https://drive.google.com/file/d/107Kvt5Enga5Z7Eqg_OujCUjeg9JNj0Lk/view?usp=drivesdk,馬車道、神奈川県立歴史博物館、中華街、大さん橋、横浜開港記念会館、地蔵王廟、山手イタリア山庭園、港の見える丘公園、山下公園,神奈川,,14,120,3:35,クロス,DE ROSA,TEAM
2017-12-29,🚲,サイクリング,房総半島の林道,https://connect.garmin.com/app/activity/2401969897,https://drive.google.com/file/d/1gL6W6C06cqmTlBBF1cRnlYr-OeIqpggw/view?usp=drivesdk,林道「月崎1号線」、林道「大福線」、林道「女ヶ倉線」、林道「牛堀線」、チバニアン,千葉,,50,862,5:44,ロード,Cannondale,SYNAPSE Hi-Mod
2018-01-06,🚲,サイクリング,江の島、横浜,https://connect.garmin.com/app/activity/24092196050,https://drive.google.com/file/d/1ZJ22kwLCOmEsURWu4_oqercJG8xo9iLt/view?usp=drivesdk,江の島、みなとみらい、天富園、ベイブリッジのスカイロード跡、總持寺,東京、神奈川,,140,804,10:46,ロード,Cannondale,SYNAPSE Hi-Mod
2018-01-07,🚲,グラベル,房総半島の林道,https://connect.garmin.com/app/activity/2419004873,https://drive.google.com/file/d/1q5MF5PIwKJciN0fpA_TK_z1eOXtPP0OW/view?usp=drivesdk,林道「怒田福野線」、林道「大福線」、林道「星井畑線」、林道「奥谷線」清澄養老ライン、亀山湖,千葉,,73,"1,428",7:06,ロード,Cannondale,SYNAPSE Hi-Mod
2018-01-13,🚲,サイクリング,三浦半島,https://connect.garmin.com/app/activity/24092214042,https://drive.google.com/file/d/1DuqEI1Ao02osi-KPuhFdw7a7ROAzG7fN/view?usp=drivesdk,鶴見川、横須賀「ヴェルニー公園」、城ヶ島、稲村ケ崎、江の島、境川サイクリングロード,東京、神奈川,,194,"1,403",12:15,ロード,Cannondale,SYNAPSE Hi-Mod
2018-01-20,🚲,サイクリング,伊豆一周,https://connect.garmin.com/app/activity/2445488359,https://drive.google.com/file/d/1It0jPrsdSAYi7Gzg_17Wvh9GPzb8E2Ws/view?usp=drivesdk,道の駅「伊豆のへそ」、弓ヶ浜,静岡,伊豆イチ,190,"3,131",11:26,ロード,Cannondale,SYNAPSE Hi-Mod
2018-02-04,🚲,サイクリング,横浜、川崎、都内,https://connect.garmin.com/app/activity/2476865879,https://drive.google.com/file/d/1V5dIx3OUwMqqr2C-F7a4K89KAV1SdL7I/view?usp=drivesdk,横浜シンボルタワー、横浜中華街、金山神社、芝公園、東京駅,東京、神奈川,,125,558,8:50,ロード,Cannondale,CAAD12
2018-02-17,🚲,サイクリング,伊豆一周断念,https://connect.garmin.com/app/activity/2502848308,https://drive.google.com/file/d/1EtKAo9B5SZm5NCnBtVIIjB93q2V21oij/view?usp=drivesdk,道の駅「伊豆のへそ」、新天城トンネル、河津川の河津桜、青野川の河津桜,静岡,伊豆イチ,174,"2,639",11:14,ロード,Cannondale,CAAD12
2018-02-24,🚲,サイクリング,三浦海岸の河津桜,https://connect.garmin.com/app/activity/2517012078,https://drive.google.com/file/d/1QgBe-Z30JgApD2tnVuHExnQCoPVTimWl/view?usp=drivesdk,三浦海岸、アメ横、銀座,神奈川,🌸,4,43,1:32,小径車,r&m,BD-1
2018-03-04,🚲,サイクリング,伊豆一周,https://connect.garmin.com/app/activity/2531067667,https://drive.google.com/file/d/1nLwfuXUAQa5UNbXjtYtlaZFssGdvs-Lu/view?usp=drivesdk,道の駅「伊豆のへそ」、河津川の河津桜、青野川の河津桜,静岡,伊豆イチ,183,"3,011",12:09,ロード,Cannondale,CAAD12
2018-03-05,🚲,サイクリング,函南、芦ノ湖,https://connect.garmin.com/app/activity/24218414369,https://drive.google.com/file/d/1XPdiSk5j8seUZLKntbiV01D1By2PRGQ7/view?usp=drivesdk,柏谷横穴群、オラチェ、十国峠[770m]、芦ノ湖、三島スカイウォーク,神奈川,,57,"1,037",8:00,ロード,Cannondale,SYNAPSE Hi-Mod
2018-03-10,🚲,サイクリング,野川、仙川,https://connect.garmin.com/app/activity/2546750766,https://drive.google.com/file/d/1GD4bjbieqRPeVJ7sxfH2IaINiJkPS-Am/view?usp=drivesdk,野川、仙川,東京,,35,103,2:48,ロード,GIANT,DEFY ADVANCED
2018-03-17,🚲,サイクリング,銚子から小平,https://connect.garmin.com/app/activity/2560604463,https://drive.google.com/file/d/19G-iaIdPn1UUWBFuprreaEuKitN7dfVw/view?usp=drivesdk,ぬれ煎餅、銚子大橋、利根川、手賀沼、江戸川、東京スカイツリー,千葉、東京,,160,346,8:58,ロード,Cannondale,SYNAPSE Hi-Mod
2018-03-18,🚲,サイクリング,東村山から二子玉川,https://connect.garmin.com/app/activity/2562481392,https://drive.google.com/file/d/1ZIVTj96QM99iS5JNmyBFNz1fgm6AKeVx/view?usp=drivesdk,深大寺、二子玉川公園,東京,,61,187,5:13,ロード,GIANT,DEFY ADVANCED
2018-03-25,🚲,サイクリング,都内,https://connect.garmin.com/app/activity/2577226575,https://drive.google.com/file/d/1qSlY3LxOD_x-KCy_wk8q53FeN5NgLgvS/view?usp=drivesdk,浅草,東京,,81,507,6:35,クロス,DE ROSA,TEAM
2018-03-31,🚲,サイクリング,都幾川の桜堤,https://connect.garmin.com/app/activity/2590309494,https://drive.google.com/file/d/1giy1YaNqPuqJxqhGA1GnhAao0LjOQ0Mz/view?usp=drivesdk,都幾川の桜堤、旧下里分校、道の駅「おがわまち」、日枝神社,埼玉,🌸,24,179,3:36,クロス,DE ROSA,TEAM
2018-04-01,🚲,サイクリング,羽村のチューリップ畑,https://connect.garmin.com/app/activity/2592712783,https://drive.google.com/file/d/1A0PF7xhHYBYsMKqOrXby1maixomILL5L/view?usp=drivesdk,根川緑道、多摩サイ、平井川、羽村堰、羽村の根搦み前水田、ゾナヴォーチェ、野山北自転車公園自転車道,東京,🌸🌷,50,229,4:34,クロス,DE ROSA,TEAM
2018-04-07,🚲,サイクリング,山伏峠と子の権現,https://connect.garmin.com/app/activity/2606817672,https://drive.google.com/file/d/1jlIkuhxdYEqLkCTUqoG_Hh1buUntQcZS/view?usp=drivesdk,小沢峠[342m]、山伏峠[621m]、天目指峠[480m]、子の権現、狭山湖、多摩湖,埼玉、東京,🌸,105,"1,426",6:27,ロード,Cannondale,CAAD12
2018-04-21,🚲,サイクリング,草津白根と渋峠,https://connect.garmin.com/app/activity/2639434422,https://drive.google.com/file/d/1DGcKoEgeUgElcVKtcW9QFXUO4rNyYmTS/view?usp=drivesdk,草津白根[2160m]、雪の回廊、国道最高地点[2172m]、渋峠[2152m],群馬,,38,"1,056",4:25,ロード,Cannondale,SYNAPSE Hi-Mod
2018-04-28,🚲,サイクリング,京都散策,https://yamap.com/activities/40145945,https://drive.google.com/file/d/10Kc3A7VPuRdncG2ulwL7MfU-VXDjwx6W/view?usp=drivesdk,京都市応仁の乱古戦場など,京都,,35,341,10:11,ロード,Cannondale,CAAD12
2018-04-29,🚲,サイクリング,京都散策,https://yamap.com/activities/40145949,https://drive.google.com/file/d/1IfOap_sS9h7gskZ1XoAty6xzQJCii5hR/view?usp=drivesdk,大原三千院、鞍馬寺、貴船神社,京都,,42,926,07:01,ロード,Cannondale,CAAD12
